nom_de_la_station;nom_de_la_ligne;stop_lon;stop_lat;pollution_air
Saint-Ouen;RER C;2.322694729473372;48.90456082213364;0.75
Saint-Ouen-l'Aumône Liesse;RER C;2.128124092657316;49.0341234164973;0.25
Sartrouville;RER A;2.1572200388507317;48.93769529363442;0.25
Sceaux;RER B;2.2979282159439305;48.781307920937515;0.25
Sermaise;RER C;2.069088468619773;48.535687624993614;0.25
Sèvres - Babylone;Métro 10;2.326104689925573;48.85093150598804;0.75
Stalingrad;Métro 7;2.3688985490576733;48.88437303056126;0.75
Strasbourg - Saint-Denis;Métro 4;2.354491616563834;48.86962358263758;0.5
Trinité - d'Estienne d'Orves;Métro 12;2.333049172418236;48.87633650730735;0.75
Val de Fontenay;RER E;2.4890536307751616;48.85424654032024;0.25
Vigneux-sur-Seine;RER D;2.413499342148242;48.70808932141768;0.25
Villejuif - Louis Aragon;Métro 7;2.36783901176962;48.78753717099888;0.75
Villejuif Léo Lagrange;Métro 7;2.364068547658874;48.80436739901952;0.75
Villejuif Paul Vaillant-Couturier;Métro 7;2.3683316015776423;48.79631793416014;0.75
Voltaire;Métro 9;2.3800316941488044;48.85766243438601;0.75
Anatole France;Métro 3;2.2849816963403193;48.892206617614;0.5
Antony;RER B;2.300890371505836;48.754632057173126;0.25
Arts et Métiers;Métro 3;2.3567233472754983;48.86553459885931;0.5
Arts et Métiers;Métro 11;2.3565081436435467;48.86529961264491;0.75
Avron;Métro 2;2.3981875566593973;48.85164854359716;0.75
Balard;Métro 8;2.2783626618092008;48.83666789483108;0.75
Ballancourt;RER D;2.3700930488013845;48.53101531216478;0.25
Barbara;Métro 4;2.3174992240284045;48.80979025430712;0.5
Bastille;Métro 5;2.368922075646989;48.85328747830434;0.75
Bercy;Métro 6;2.379463070185257;48.840176028121896;0.75
Bercy;Métro 14;2.3790620152277233;48.84010199803391;0.5
Bibliothèque François Mitterrand;Métro 14;2.376487371168301;48.829925765928905;0.5
Boissise-le-Roi;RER D;2.57179291425262;48.52985734002498;0.25
Boissy-Saint-Léger;RER A;2.504498176690716;48.752267307821874;0.25
Bolivar;Métro 7B;2.374152140698752;48.880789805531926;0.75
Bourse;Métro 3;2.3406785469758815;48.868792843933164;0.75
Breuillet - Bruyères-le-Châtel;RER C;2.1922487394356454;48.57760979436327;0.25
Breuillet Village;RER C;2.170354257290333;48.56433413404574;0.25
Bry-sur-Marne;RER A;2.525670945020106;48.845137476280854;0.25
Buttes Chaumont;Métro 7B;2.381569842088008;48.87849908839857;0.75
Cardinal Lemoine;Métro 10;2.3513280016731763;48.84670003526311;0.75
Censier - Daubenton;Métro 7;2.351626572605499;48.84022624851393;0.75
Cergy Préfecture;RER A;2.0797809490013073;49.036306683133965;0.75
Champs-Elysées - Clemenceau;Métro 1;2.314397292025236;48.867583959552555;0.5
Chantilly - Gouvieux;RER D;2.4595159140085237;49.187030004663995;0.25
Charles de Gaulle - Etoile;RER A;2.295231447641207;48.874172759565376;0.5
Charles de Gaulle - Etoile;Métro 2;2.295927507409278;48.87494579313413;0.75
Charles de Gaulle - Etoile;Métro 6;2.294995735441831;48.87383861478572;0.75
Château de Vincennes;Métro 1;2.440540095406114;48.84431751431355;0.5
Château Rouge;Métro 4;2.3495819680256593;48.887241930648955;0.5
Châtelet;Métro 1;2.3457609541847755;48.85922471342816;0.75
Châtelet les Halles;RER A;2.34697651043533;48.86174503191322;0.75
Châtelet les Halles;RER B;2.34697651043533;48.86174503191322;0.75
Chelles - Gournay;RER E;2.5833806594500697;48.87411948897062;0.25
Chemin d'Antony;RER C;2.3126496863919335;48.747936542587276;0.25
Concorde;Métro 8;2.3220315426557194;48.86652125193945;0.75
Conflans Fin d'Oise;RER A;2.0746499245710193;48.991156287258484;0.25
Convention;Métro 12;2.2963913864809173;48.83713505380496;0.75
Coteaux Beauclair;Métro 11;2.4673647804495924;48.88212212689498;0.25
Crimée;Métro 7;2.3770380600019925;48.890814345621656;0.75
Danube;Métro 7B;2.393228471227492;48.88194921492064;0.75
Denfert-Rochereau;RER B;2.333220634641387;48.83318643678081;0.75
Eglise de Pantin;Métro 5;2.413119553706935;48.893163974098265;0.75
Etampes;RER C;2.159819133907717;48.437062675829104;0.25
Etréchy;RER C;2.1947692381982216;48.49387742150091;0.25
Evry - Courcouronnes;RER D;2.4300329095214526;48.62588794663492;0.75
Fontenay-aux-Roses;RER B;2.2929083820455323;48.78756698215643;0.25
Gagny;RER E;2.5254046016945138;48.883728731604535;0.25
Gare d'Austerlitz;Métro 5;2.3656078807625422;48.84229779662816;0.25
Gare d'Austerlitz;Métro 10;2.364395394600644;48.84228236697996;0.75
Gare de Lyon;Métro 1;2.373125016776689;48.84575948671397;0.75
George V;Métro 1;2.300759784978918;48.87203776458909;0.5
Glacière;Métro 6;2.3434974927179884;48.831170235245835;0.25
